Restaurant,Food Item,Serving Size,Calories,Calories from Fat,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrates,Dietary Fiber,Sugars,Proteins,Vitamin A,Vitamin C,Calcium,Iron
Common Food,jelly doughnuts,1 doughnut oval ( 85g ),289,135,15.9,4.1,,22.1,386.8,33.1,0.77,17.93,5.01,6,0,1.9,10.7
Common Food,jennie o taco seasoned ground turkey,4 oz ( 112g ),170,81,9,3,0,80,660,2,0,2,19,70,0,1.8,12.9
Common Food,jennie o turkey burger patties,1 patty ( 112g ),150,72,8,2.5,0,85,110,0,0,0,20,0,0,1.8,7.7
Common Food,jennie o turkey store turkey burgers,1 patty ( 149g ),250,135,15,4,0,85,380,0,0,0,24,10,2,1.8,7.7
Common Food,jerk chicken,1 piece ( 130g ),293.7,162,18.9,3.9,0.1739,77.6,638.9,5.5,0.82,2.69,24.91,33.8,33.2,3.2,12.5
Common Food,jerky,"1 piece, large ( 20g )",82,45,5.1,2.2,,9.6,416.2,2.2,0.36,1.8,6.64,0,0,0.4,7.7
Common Food,jersey mikes subs number 13 original italian white regular,1 sub ( 444g ),680,225,25,11,0,105,2580,71,3,7,43,250,50,27.3,45
Common Food,jets pizza cheese pizza small square,1 slice ( 114g ),270,99,11,4,0,20,370,29,1,1,14,,,,
Common Food,jicama,1 cup slices ( 120g ),45.6,0,0.1,0,0,0,4.8,10.6,5.88,2.16,0.86,2.5,40.4,1.3,5.1
Common Food,jif,2 tbsp ( 32g ),188.2,135,15.8,3,0,0,152.3,7.7,1.82,2.08,7.02,0,0,1.6,4.9
Common Food,jif creamy,2 tbsp ( 33g ),190,144,16,2.5,0,0,140,8,2,3,7,,,1.1,7.1
Common Food,jif natural,2 tbsp ( 34.4g ),200.2,144,16.9,2.6,0.0092,0,118.7,7.2,2.86,1.67,8.3,0,0,1.8,3.9
Common Food,jif peanut butter,2 tbsp ( 32g ),188.2,135,15.8,3,0,0,152.3,7.7,1.82,2.08,7.02,0,0,1.6,4.9
Common Food,jif reduced fat creamy peanut butter,2 tbsp ( 36g ),190,108,12,2.5,0,0,200,15,2,4,7,,,1.8,5.1
Common Food,jif to go natural creamy peanut butter spread,1.5 oz cup ( 43g ),250,180,20,4.5,0,0,105,11,3,5,10,,,1.6,7.1
Common Food,jiff creamy peanut butter soread,2 tbsp ( 33g ),190,144,16,3.5,0,0,80,8,3,4,7,,,1.3,7.1
Common Food,jiff peanut butter,2 tbsp ( 32g ),188.2,135,15.8,3,0,0,152.3,7.7,1.82,2.08,7.02,0,0,1.6,4.9
Common Food,jim beam,1 shot ( 42g ),97,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0.1
Common Food,jimmy dean biscuit sausage egg and cheese,1 sandwich ( 128g ),410,261,29,12,0,130,830,26,2,4,12,40,0,18.2,12.9
Common Food,jimmy dean breakfast bowl bacon,1 bowl ( 198g ),400,225,25,10,0,295,1150,18,2,0.5,26,40,0,22.7,12.9
Common Food,jimmy dean croissant sausage egg and cheese sandwiches,1 sandwich ( 128g ),410,252,28,11,0.5,130,580,27,2,5,12,40,0,13.6,12.9
Common Food,jimmy dean delights,1 sandwich ( 127.16g ),253.7,72,8.2,4.3,0.2636,30.7,746.4,28.6,1.54,1.7,15.51,32.4,0,35.3,5.7
Common Food,jimmy dean delights frittatas bacon and spinach,2 frittatas ( 113g ),250,162,18,6,0,230,710,9,2,3,13,50,0,13.6,10.3
